url,titre,entreprise,date_publication,region,ville,contrat,experience,niveau_etude,competences_cles,skills_list,experience_cat,annee,mois
https://www.emploi.ma/offre-emploi-maroc/assistante-support-commercial-ain-el-aouda-9218583,Assistant(e) Support Commercial - Aïn El Aouda,AMANYS PHARMA,2026-02-05,Rabat-Salé-Kénitra,Aïn El Aouda,CDI - Anapec,Non spécifié,Bac+5 et plus,Gestion Administrative - Achats - Communication - Devis - Reporting - Secrétariat - Fiches - Marketing - Support - Transport - Assistanat,"['Gestion Administrative', 'Achats', 'Communication', 'Devis', 'Reporting', 'Secrétariat', 'Fiches', 'Marketing', 'Support', 'Transport', 'Assistanat']",Non spécifié,2026,2
https://www.emploi.ma/offre-emploi-maroc/responsable-developpement-commercial-anglophone-casablanca-9260228,Responsable Développement Commercial Anglophone - Casablanca,CALLIOPE,2026-03-10,Casablanca-Mohammedia,Casablanca,CDI,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Développement Commercial - CRM - Vente - Stratégie Commerciale - Négociation - Développement Commercial,"['Développement Commercial', 'CRM', 'Vente', 'Stratégie Commerciale', 'Négociation', 'Développement Commercial']",Confirmé (5-10 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/operateur-machine-agadir-9166090,Opérateur de Machine - Agadir,TECTRA,2026-02-27,Agadir,Agadir,Intérim,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Qualification avant bac - Bac - Bac+1 - Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Qualité - Maintenance - Processus - Machines - Production,"['Qualité', 'Maintenance', 'Processus', 'Machines', 'Production']",Débutant,2026,2
https://www.emploi.ma/offre-emploi-maroc/commerciale-chargee-compte-casablanca-9254763,"Commercial(e), Chargé(e) de Compte - Casablanca",ECS INFORMATIQUE,2026-03-18,Casablanca-Mohammedia,Casablanca,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Actions Commerciales - Management des Ventes - Prospection - Négociation - Suivi des Ventes - Vente,"['Actions Commerciales', 'Management des Ventes', 'Prospection', 'Négociation', 'Suivi des Ventes', 'Vente']",Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/assistante-adv-ville-verte-bouskoura-9220645,Assistante ADV - Ville Verte Bouskoura,WASSIE DEVELOPPEMENT,2026-02-07,Casablanca-Mohammedia,Bouskoura,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Gestion des Réclamations - Vente - Devis,"['Gestion des Réclamations', 'Vente', 'Devis']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/ingenieur-achat-industrielle-berrechid-9208354,Ingénieur en Achat Industrielle - Berrechid,Non spécifié,2026-02-06,Settat,Berrechid,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+5 et plus,Incoterms - Approvisionnements - Sourcing - Supply Chain - Supply - Livraison - Achats,"['Incoterms', 'Approvisionnements', 'Sourcing', 'Supply Chain', 'Supply', 'Livraison', 'Achats']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/technicien-electricien-casablanca-9260417,Technicien Électricien - Casablanca,TECTRA CASA TERTIAIRE – RECRUTEMENT,2026-03-10,Casablanca-Mohammedia,Casablanca,CDI - CDD - Intérim,Non spécifié,Qualification avant bac - Bac,Production - Maintenance - Qualité - Électrotechnique - Câblage - Production,"['Production', 'Maintenance', 'Qualité', 'Électrotechnique', 'Câblage', 'Production']",Non spécifié,2026,3
https://www.emploi.ma/offre-emploi-maroc/chargee-paie-chargee-appels-offres-rabat-9252602,Chargé(e) de Paie et Chargé(e) des Appels d’Offres - Rabat,JOB CONNECT,2026-03-03,Rabat-Salé-Kénitra,Rabat,CDI - CDD - Intérim,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Gestion RH - Dossiers - Dossiers Administratifs - Assistanat - Gestion des Dossiers - Gestion - Secrétariat - Finance - Gestion des Appels - Comptabilité - Formation - Marchés Publics,"['Gestion RH', 'Dossiers', 'Dossiers Administratifs', 'Assistanat', 'Gestion des Dossiers', 'Gestion', 'Secrétariat', 'Finance', 'Gestion des Appels', 'Comptabilité', 'Formation', 'Marchés Publics']",Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/cariste-operateur-marrakech-beni-mellal-9212739,Cariste – Opérateur - Marrakech / Béni Mellal,TECTRA,2026-01-31,Béni Mellal-Khénifra - Marrakech-Safi,Non spécifié,Intérim,Non spécifié,Qualification avant bac - Bac,Étiquetage - Chargement - Distribution - Rangement - Transport - Déchargement - Expédition - Stockage - Emballage,"['Étiquetage', 'Chargement', 'Distribution', 'Rangement', 'Transport', 'Déchargement', 'Expédition', 'Stockage', 'Emballage']",Non spécifié,2026,1
https://www.emploi.ma/offre-emploi-maroc/responsable-regional-rabat-9228462,Responsable Régional - Rabat,GROUPE MCE,2026-02-12,Rabat-Salé-Kénitra,Rabat,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+5 et plus,Plomberie - CVC - Optimisation Énergétique - Maintenance Industrielle - Maintenance - Génie Électrique - Amélioration Continue - Production - Qualité,"['Plomberie', 'CVC', 'Optimisation Énergétique', 'Maintenance Industrielle', 'Maintenance', 'Génie Électrique', 'Amélioration Continue', 'Production', 'Qualité']",Junior (2-5 ans),2026,2
https://www.emploi.ma/offre-emploi-maroc/operatrice-production-kenitra-9248886,Opératrice de Production - Kénitra,TECTRA,2026-02-27,Rabat-Salé-Kénitra,Kénitra,Intérim,Non spécifié,Non spécifié,Maintenance - Emballage - Hygiène - Étiquetage - Qualité - Production,"['Maintenance', 'Emballage', 'Hygiène', 'Étiquetage', 'Qualité', 'Production']",Non spécifié,2026,2
https://www.emploi.ma/offre-emploi-maroc/coordinateur-administratif-hse-mohammedia-9076396,Coordinateur Administratif et HSE - Mohammedia,BRIQUETERIE JBEL ANNOUR,2026-03-06,Casablanca-Mohammedia,Mohammedia,CDI,Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Non spécifié,['Non spécifié'],Junior (2-5 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/responsable-ordonnancement-casablanca-9265796,Responsable Ordonnancement - Casablanca,TECTRA CASA BOURGOGNE – RECRUTEMENT,2026-03-14,Casablanca-Mohammedia,Casablanca,CDI,Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+3 - Bac+4 - Bac+5 et plus,Transport - Transport,"['Transport', 'Transport']",Confirmé (5-10 ans),2026,3
https://www.emploi.ma/offre-emploi-maroc/commercial-e-sedentaire-casablanca-9237539,Commercial (e) Sédentaire - Casablanca,SKS PROJETS,2026-03-11,Casablanca-Mohammedia,Casablanca,CDI,Débutant < 2 ans - Expérience entre 2 ans et 5 ans - Expérience entre 5 ans et 10 ans - Expérience > 10 ans,Bac+2 - Bac+3 - Bac+4 - Bac+5 et plus,Comptabilité - Développement Commercial - Gestion - Devis - Finance,"['Comptabilité', 'Développement Commercial', 'Gestion', 'Devis', 'Finance']",Débutant,2026,3
